32 	 8.04e-06 nan 8.09e-06 nan 1.41e-05 4.45e-06 5.17e-06 2.06e-06 1.04e-05 5.48e-06 9.65e-06 7.80e-06 1.19e-05 6.76e-06 5.41e-06 1.39e-06 1.26e-05 nan 1.16e-05 nan 1.21e-05 4.90e-06 1.19e-05 7.95e-06 2.05e-05 5.89e-06 9.27e-06 7.75e-06 1.09e-05 nan 
64 	 5.33e-06 nan 5.36e-06 nan 5.50e-06 nan 5.60e-06 nan 5.40e-06 nan 5.13e-06 nan 5.30e-06 nan 5.49e-06 nan 5.17e-06 nan 5.15e-06 5.71e-07 5.64e-06 nan 4.88e-06 3.00e-07 5.69e-06 1.11e-06 5.45e-06 nan 5.22e-06 3.82e-07 
128 	 6.99e-06 8.73e-07 6.90e-06 nan 6.85e-06 nan 6.96e-06 5.24e-07 6.74e-06 nan 6.73e-06 nan 6.69e-06 2.41e-07 6.71e-06 nan 6.71e-06 nan 6.65e-06 nan 6.80e-06 5.98e-07 6.62e-06 nan 7.11e-06 nan 6.73e-06 3.19e-07 6.72e-06 nan 
256 	 7.53e-06 nan 7.49e-06 nan 7.31e-06 nan 7.58e-06 nan 7.35e-06 5.51e-07 7.51e-06 2.28e-07 7.38e-06 2.70e-07 7.32e-06 nan 7.15e-06 3.41e-07 7.34e-06 3.35e-07 7.37e-06 nan 7.09e-06 1.11e-07 7.50e-06 nan 7.27e-06 5.76e-07 7.12e-06 3.19e-07 
512 	 8.61e-06 nan 8.41e-06 4.17e-07 8.65e-06 nan 8.64e-06 6.03e-07 8.47e-06 5.53e-07 8.07e-06 nan 8.51e-06 nan 8.43e-06 6.27e-07 8.39e-06 nan 8.24e-06 nan 8.55e-06 nan 8.15e-06 nan 8.68e-06 5.36e-07 8.66e-06 nan 8.30e-06 4.23e-07 
1024 	 1.03e-05 1.14e-06 1.02e-05 nan 1.05e-05 2.18e-07 1.02e-05 2.49e-07 1.03e-05 nan 1.02e-05 nan 1.04e-05 2.26e-07 1.03e-05 4.81e-07 1.02e-05 nan 1.01e-05 5.46e-07 1.06e-05 7.77e-07 9.96e-06 6.39e-07 1.05e-05 2.86e-07 1.01e-05 nan 1.01e-05 8.53e-08 
2048 	 1.39e-05 nan 1.37e-05 nan 1.46e-05 4.83e-07 1.43e-05 2.34e-07 1.46e-05 3.67e-07 1.40e-05 3.54e-07 1.51e-05 4.57e-07 1.50e-05 nan 1.42e-05 3.89e-07 1.41e-05 6.39e-07 1.51e-05 nan 1.39e-05 6.79e-07 1.54e-05 7.80e-07 1.49e-05 nan 1.49e-05 1.07e-06 
